Time,Open,Close,High,Low,Volume,Real
1514764800000,13763.000000000000000000000,13623.000000000000000000000,13788.000000000000000000000,13559.000000000000000000000,456.543376210000000000000,1.000000000000000000000
1514765700000,13621.000000000000000000000,13581.000000000000000000000,13621.000000000000000000000,13505.000000000000000000000,419.352309180000000000000,1.000000000000000000000
1514766600000,13580.000000000000000000000,13578.000000000000000000000,13616.000000000000000000000,13532.000000000000000000000,221.082319390000000000000,1.000000000000000000000
1514767500000,13579.000000000000000000000,13607.000000000000000000000,13692.000000000000000000000,13555.000000000000000000000,353.488314700000000000000,1.000000000000000000000
1514768400000,13621.000000000000000000000,13542.000000000000000000000,13621.000000000000000000000,13505.000000000000000000000,139.962150060000000000000,1.000000000000000000000
1514769300000,13544.000000000000000000000,13610.000000000000000000000,13655.000000000000000000000,13528.017181940000000000000,171.120050010000000000000,1.000000000000000000000
1514770200000,13610.000000000000000000000,13434.000000000000000000000,13631.000000000000000000000,13417.692070620000000000000,541.210275450000000000000,1.000000000000000000000
1514771100000,13435.000000000000000000000,13281.000000000000000000000,13446.000000000000000000000,13251.000000000000000000000,558.417682800000000000000,1.000000000000000000000
1514772000000,13280.000000000000000000000,13417.000000000000000000000,13440.000000000000000000000,13280.000000000000000000000,327.956871650000000000000,1.000000000000000000000
1514772900000,13418.000000000000000000000,13273.000000000000000000000,13418.000000000000000000000,13251.000000000000000000000,376.132187210000000000000,1.000000000000000000000
1514773800000,13260.000000000000000000000,13324.000000000000000000000,13345.740911070000000000000,13214.000000000000000000000,292.148895320000000000000,1.000000000000000000000
1514774700000,13325.000000000000000000000,13362.000000000000000000000,13398.000000000000000000000,13270.192193540000000000000,231.197799380000000000000,1.000000000000000000000
1514775600000,13363.000000000000000000000,13425.000000000000000000000,13453.000000000000000000000,13310.000000000000000000000,243.661526680000000000000,1.000000000000000000000
1514776500000,13426.000000000000000000000,13551.000000000000000000000,13565.000000000000000000000,13417.000000000000000000000,357.910784140000000000000,1.000000000000000000000
1514777400000,13552.000000000000000000000,13469.257068300000000000000,13591.000000000000000000000,13451.000000000000000000000,170.010297570000000000000,1.000000000000000000000
1514778300000,13478.000000000000000000000,13394.000000000000000000000,13495.000000000000000000000,13360.000000000000000000000,293.339980910000000000000,1.000000000000000000000
1514779200000,13393.000000000000000000000,13307.366959310000000000000,13424.000000000000000000000,13262.000000000000000000000,230.016279890000000000000,1.000000000000000000000
1514780100000,13309.000000000000000000000,13438.000000000000000000000,13465.000000000000000000000,13285.781611440000000000000,286.044060000000000000000,1.000000000000000000000
1514781000000,13437.000000000000000000000,13542.000000000000000000000,13582.000000000000000000000,13433.000000000000000000000,189.370446760000000000000,1.000000000000000000000
1514781900000,13535.000000000000000000000,13584.000000000000000000000,13584.000000000000000000000,13500.000000000000000000000,149.765860350000000000000,1.000000000000000000000
1514782800000,13584.000000000000000000000,13525.000000000000000000000,13598.000000000000000000000,13504.000000000000000000000,181.272841380000000000000,1.000000000000000000000
1514783700000,13525.000000000000000000000,13548.000000000000000000000,13608.000000000000000000000,13496.838346130000000000000,183.874399820000000000000,1.000000000000000000000
1514784600000,13546.000000000000000000000,13532.000000000000000000000,13586.000000000000000000000,13479.000000000000000000000,88.755637250000000000000,1.000000000000000000000
1514785500000,13532.000000000000000000000,13501.000000000000000000000,13550.000000000000000000000,13494.000000000000000000000,79.334188640000000000000,1.000000000000000000000
1514786400000,13511.000000000000000000000,13476.000000000000000000000,13525.000000000000000000000,13435.000000000000000000000,262.655199790000000000000,1.000000000000000000000
1514787300000,13476.000000000000000000000,13668.000000000000000000000,13711.000000000000000000000,13467.000000000000000000000,365.633043150000000000000,1.000000000000000000000
1514788200000,13667.000000000000000000000,13763.000000000000000000000,13768.000000000000000000000,13614.000000000000000000000,214.352684160000000000000,1.000000000000000000000
1514789100000,13763.000000000000000000000,13781.000000000000000000000,13839.000000000000000000000,13727.000000000000000000000,320.678891110000000000000,1.000000000000000000000
1514790000000,13780.000000000000000000000,13791.000000000000000000000,13893.000000000000000000000,13767.000000000000000000000,198.625818770000000000000,1.000000000000000000000
1514790900000,13792.000000000000000000000,13771.000000000000000000000,13800.232402250000000000000,13700.000000000000000000000,240.159502880000000000000,1.000000000000000000000
1514791800000,13770.000000000000000000000,13678.000000000000000000000,13841.000000000000000000000,13615.000000000000000000000,324.789052880000000000000,1.000000000000000000000
1514792700000,13682.000000000000000000000,13617.000000000000000000000,13683.000000000000000000000,13603.000000000000000000000,204.536838200000000000000,1.000000000000000000000
1514793600000,13616.000000000000000000000,13682.000000000000000000000,13684.000000000000000000000,13572.000000000000000000000,180.528185650000000000000,1.000000000000000000000
1514794500000,13682.000000000000000000000,13654.000000000000000000000,13751.000000000000000000000,13653.000000000000000000000,221.774547570000000000000,1.000000000000000000000
1514795400000,13653.000000000000000000000,13400.000000000000000000000,13672.000000000000000000000,13389.000000000000000000000,690.022246880000000000000,1.000000000000000000000
1514796300000,13400.000000000000000000000,13417.000000000000000000000,13450.000000000000000000000,13399.000000000000000000000,247.643714460000000000000,1.000000000000000000000
1514797200000,13417.000000000000000000000,13531.000000000000000000000,13560.000000000000000000000,13416.492884630000000000000,297.165153070000000000000,1.000000000000000000000
1514798100000,13531.000000000000000000000,13481.000000000000000000000,13600.000000000000000000000,13480.000000000000000000000,164.102024440000000000000,1.000000000000000000000
1514799000000,13480.000000000000000000000,13541.000000000000000000000,13559.000000000000000000000,13461.000000000000000000000,173.055222040000000000000,1.000000000000000000000
1514799900000,13542.000000000000000000000,13582.000000000000000000000,13622.000000000000000000000,13510.000000000000000000000,307.080500360000000000000,1.000000000000000000000
1514800800000,13573.000000000000000000000,13494.000000000000000000000,13585.000000000000000000000,13491.000000000000000000000,131.482257930000000000000,1.000000000000000000000
1514801700000,13493.000000000000000000000,13544.000000000000000000000,13545.000000000000000000000,13427.000000000000000000000,140.262334250000000000000,1.000000000000000000000
1514802600000,13544.000000000000000000000,13542.000000000000000000000,13580.000000000000000000000,13500.000000000000000000000,108.334158020000000000000,1.000000000000000000000
1514803500000,13543.000000000000000000000,13543.000000000000000000000,13568.000000000000000000000,13522.000000000000000000000,93.265387160000000000000,1.000000000000000000000
1514804400000,13543.000000000000000000000,13231.000000000000000000000,13550.000000000000000000000,13150.000000000000000000000,1003.811324590000000000000,1.000000000000000000000
1514805300000,13230.619055780000000000000,13100.000000000000000000000,13232.000000000000000000000,13100.000000000000000000000,426.032918860000000000000,1.000000000000000000000
1514806200000,13101.000000000000000000000,13146.000000000000000000000,13221.025567840000000000000,13072.000000000000000000000,549.791505670000000000000,1.000000000000000000000
1514807100000,13147.000000000000000000000,13231.000000000000000000000,13248.000000000000000000000,13145.000000000000000000000,331.811814520000000000000,1.000000000000000000000
1514808000000,13234.000000000000000000000,13212.000000000000000000000,13265.000000000000000000000,13201.000000000000000000000,211.059237620000000000000,1.000000000000000000000
1514808900000,13208.000000000000000000000,13138.000000000000000000000,13208.000000000000000000000,13092.000000000000000000000,359.331276570000000000000,1.000000000000000000000
1514809800000,13138.000000000000000000000,13184.000000000000000000000,13200.000000000000000000000,13136.000000000000000000000,252.485097020000000000000,1.000000000000000000000
1514810700000,13185.000000000000000000000,13144.000000000000000000000,13205.000000000000000000000,13116.000000000000000000000,179.216522710000000000000,1.000000000000000000000
1514811600000,13143.078478330000000000000,13025.558251060000000000000,13162.000000000000000000000,12900.000000000000000000000,1133.976660560000000000000,1.000000000000000000000
1514812500000,13032.000000000000000000000,13033.000000000000000000000,13133.000000000000000000000,13023.000000000000000000000,270.466397680000000000000,1.000000000000000000000
1514813400000,13033.000000000000000000000,13083.000000000000000000000,13102.000000000000000000000,12995.000000000000000000000,260.772921270000000000000,1.000000000000000000000
1514814300000,13084.000000000000000000000,13022.000000000000000000000,13084.000000000000000000000,12925.000000000000000000000,340.776837380000000000000,1.000000000000000000000
1514815200000,13022.000000000000000000000,12850.000000000000000000000,13036.000000000000000000000,12777.000000000000000000000,748.814393270000000000000,1.000000000000000000000
1514816100000,12850.000000000000000000000,12920.000000000000000000000,12937.000000000000000000000,12791.000000000000000000000,453.458272860000000000000,1.000000000000000000000
